U_mm,F_lb_kN,F_ub_kN
0.342,3.323980927117392,5.045950757415253
0.343,3.310414972576732,5.022988847987286
0.344,3.296849018036071,5.00002693855932
0.345,3.2832830634954107,4.977065029131354
0.346,3.270258979010652,4.954355942796608
0.347,3.257234894525893,4.931646856461862
0.348,3.244210810041134,4.908937770127117
0.349,3.231186725556375,4.886228683792371
0.35,3.218162641071616,4.863519597457626
0.351,3.2056659060225705,4.841156432733049
0.352,3.1931691709735257,4.818793268008474
0.353,3.18067243592448,4.796430103283899
0.354,3.1681757008754348,4.774066938559322
0.355,3.155678965826389,4.7517037738347465
0.356,3.14369505959287,4.729779629237289
0.357,3.1317111533593502,4.707855484639831
0.358,3.119727247125831,4.685931340042374
0.359,3.1077433408923114,4.664007195444916
0.36,3.095759434658792,4.642083050847458
0.361,3.0842738366206106,4.620691024894068
0.362,3.072788238582429,4.599298998940679
0.363,3.061302640544247,4.5779069729872885
0.364,3.0498170425060653,4.556514947033899
0.365,3.038331444467884,4.535122921080509
0.366,3.027329634004853,4.514356112288136
0.367,3.016327823541821,4.493589303495764
0.368,3.0053260130787898,4.47282249470339
0.369,2.994324202615758,4.452055685911017
0.37,2.983322392152727,4.431288877118645
0.371,2.9727898486446582,4.411240384004238
0.372,2.962257305136589,4.391191890889831
0.373,2.9517247616285207,4.371143397775424
0.374,2.941192218120452,4.351094904661018
0.375,2.930659674612383,4.331046411546611
0.376,2.9205818774390893,4.311809332627119
0.377,2.9105040802657958,4.292572253707627
0.378,2.900426283092501,4.273335174788136
0.379,2.890348485919207,4.2540980958686445
0.38,2.880270688745913,4.234861016949153
0.381,2.870633117287206,4.216528450741525
0.382,2.8609955458284992,4.198195884533899
0.383,2.851357974369792,4.179863318326271
0.384,2.8417204029110854,4.161530752118645
0.385,2.8320828314523783,4.143198185911017
0.386,2.822870965088071,4.125863230932204
0.387,2.8136590987237637,4.108528275953391
0.388,2.804447232359456,4.091193320974576
0.389,2.7952353659951483,4.073858365995763
0.39,2.786023499630841,4.05652341101695
0.391,2.777222817740745,4.040279165783899
0.392,2.768422135850649,4.024034920550848
0.393,2.759621453960553,4.007790675317797
0.394,2.750820772070457,3.9915464300847465
0.395,2.742020090180361,3.975302184851696
0.396,2.733616072144289,3.9602417478813567
0.397,2.7252120541082165,3.9451813109110176
0.398,2.7168080360721447,3.930120873940678
0.399,2.7084040180360724,3.915060436970339
0.4,2.7,3.9
0.401,2.691979090909091,3.885743979779412
0.402,2.683958181818182,3.871487959558823
0.403,2.675937272727273,3.8572319393382353
0.404,2.667916363636364,3.842975919117647
0.405,2.6598954545454543,3.8287198988970585
0.406,2.6522371291866027,3.81482481617647
0.407,2.644578803827751,3.800929733455882
0.408,2.636920478468899,3.787034650735293
0.409,2.6292621531100475,3.7731395680147046
0.41,2.621603827751196,3.759244485294116
0.411,2.6142831100478463,3.745707306985293
0.412,2.606962392344497,3.7321701286764695
0.413,2.5996416746411475,3.7186329503676463
0.414,2.5923209569377983,3.705095772058823
0.415,2.5850002392344487,3.691558593749999
0.416,2.577992153110047,3.6783762867647054
0.417,2.5709840669856456,3.665193979779412
0.418,2.563975980861244,3.652011672794118
0.419,2.556967894736842,3.638829365808824
0.42,2.5499598086124404,3.62564705882353
0.421,2.5432393779904308,3.6128165900735296
0.422,2.536518947368421,3.5999861213235294
0.423,2.529798516746412,3.587155652573529
0.424,2.523078086124402,3.5743251838235293
0.425,2.5163576555023925,3.561494715073529
0.426,2.5098999043062205,3.549013051470588
0.427,2.5034421531100484,3.536531387867647
0.428,2.4969844019138763,3.524049724264706
0.429,2.490526650717704,3.511568060661765
0.43,2.484068899521532,3.499086397058824
0.431,2.477848851674642,3.4869505055147063
0.432,2.471628803827752,3.474814613970589
0.433,2.465408755980862,3.462678722426471
0.434,2.459188708133972,3.4505428308823536
0.435,2.4529686602870817,3.438406939338236
0.436,2.446961339712919,3.426613786764706
0.437,2.4409540191387564,3.4148206341911767
0.438,2.4349466985645933,3.403027481617647
0.439,2.4289393779904307,3.3912343290441176
0.44,2.422932057416268,3.379441176470588
0.441,2.4171124880382777,3.3679877297794114
0.442,2.4112929186602874,3.356534283088235
0.443,2.4054733492822966,3.3450808363970586
0.444,2.3996537799043063,3.333627389705882
0.445,2.393834210526316,3.3221739430147057
0.446,2.388177416267943,3.311057169117647
0.447,2.3825206220095696,3.299940395220588
0.448,2.3768638277511966,3.2888236213235293
0.449,2.3712070334928232,3.2777068474264706
0.45,2.3655502392344503,3.266590073529412
0.451,2.3600312440191398,3.2558069393382354
0.452,2.354512248803828,3.2450238051470586
0.453,2.348993253588517,3.234240670955882
0.454,2.3434742583732056,3.2234575367647054
0.455,2.3379552631578946,3.212674402573529
0.456,2.3325490909090907,3.202221875
0.457,2.3271429186602868,3.19176934742647
0.458,2.3217367464114838,3.181316819852941
0.459,2.3163305741626794,3.1708642922794112
0.46,2.3109244019138755,3.160411764705882
0.461,2.305606076555024,3.1502868106617643
0.462,2.300287751196172,3.1401618566176466
0.463,2.294969425837321,3.130036902573529
0.464,2.2896511004784688,3.119911948529411
0.465,2.284332775119617,3.1097869944852934
0.466,2.2790773205741623,3.0999865808823523
0.467,2.273821866028708,3.0901861672794118
0.468,2.268566411483253,3.08038575367647
0.469,2.2633109569377985,3.070585340073529
0.47,2.258055502392344,3.060784926470588
0.471,2.2528379425837315,3.051306020220588
0.472,2.247620382775119,3.041827113970588
0.473,2.2424028229665067,3.032348207720588
0.474,2.2371852631578943,3.022869301470588
0.475,2.231967703349281,3.013390395220588
0.476,2.2267630622009564,3.0042299632352933
0.477,2.221558421052632,2.9950695312499995
0.478,2.2163537799043063,2.9859090992647053
0.479,2.211149138755981,2.976748667279411
0.48,2.205944497607656,2.9675882352941176
0.481,2.2007277990430625,2.958743244485294
0.482,2.1955111004784693,2.94989825367647
0.483,2.190294401913876,2.941053262867647
0.484,2.1850777033492825,2.932208272058824
0.485,2.179861004784689,2.92336328125
0.486,2.1746072727272727,2.9148306985294115
0.487,2.1693535406698565,2.9062981158088235
0.488,2.16409980861244,2.897765533088235
0.489,2.158846076555024,2.889232950367647
0.49,2.1535923444976075,2.8807003676470586
0.491,2.1482766028708133,2.8724771599264702
0.492,2.142960861244019,2.864253952205882
0.493,2.1376451196172246,2.856030744485294
0.494,2.1323293779904304,2.847807536764705
0.495,2.1270136363636363,2.839584329044117
0.496,2.121610909090909,2.8316674632352936
0.497,2.1162081818181817,2.82375059742647
0.498,2.1108054545454547,2.815833731617647
0.499,2.105402727272727,2.8079168658088234
0.5,2.1,2.8
0.501,2.0945303977272727,2.792350352941176
0.502,2.0890607954545457,2.7847007058823525
0.503,2.0835911931818183,2.7770510588235293
0.504,2.0781215909090918,2.7694014117647057
0.505,2.072651988636364,2.761751764705882
0.506,2.067160227272728,2.7543265882352936
0.507,2.061668465909091,2.7469014117647057
0.508,2.056176704545454,2.7394762352941173
0.509,2.050684943181818,2.7320510588235294
0.51,2.0451931818181817,2.724625882352941
0.511,2.039691193181818,2.7174167058823526
0.512,2.0341892045454544,2.710207529411764
0.513,2.0286872159090907,2.7029983529411763
0.514,2.023185227272727,2.695789176470588
0.515,2.0176832386363635,2.6885799999999995
0.516,2.0121829545454544,2.6815783529411763
0.517,2.0066826704545453,2.6745767058823526
0.518,2.001182386363636,2.6675750588235294
0.519,1.9956821022727271,2.6605734117647057
0.52,1.990181818181818,2.6535717647058825
0.521,1.9846951704545448,2.6467691764705883
0.522,1.9792085227272729,2.639966588235294
0.523,1.973721875,2.633164
0.524,1.9682352272727277,2.6263614117647056
0.525,1.9627485795454545,2.6195588235294114
