1;Temps;Deplacements;Forces
;(s);(mm);(kN)
"";"15.0000";"1.4999";"21.4162"
"";"15.1000";"1.5099";"21.7666"
"";"15.2000";"1.5203";"22.1085"
"";"15.3000";"1.5301";"22.4478"
"";"15.4000";"1.5398";"22.7864"
"";"15.5000";"1.5500";"23.1264"
"";"15.6000";"1.5600";"23.4689"
"";"15.7000";"1.5701";"23.8171"
"";"15.8000";"1.5801";"24.1484"
"";"15.9000";"1.5900";"24.4778"
"";"16.0000";"1.5998";"24.8137"
"";"16.1000";"1.6101";"25.1474"
"";"16.2000";"1.6201";"25.4767"
"";"16.3000";"1.6299";"25.8070"
"";"16.4000";"1.6400";"26.1375"
"";"16.5000";"1.6502";"26.4638"
"";"16.6000";"1.6599";"26.7896"
"";"16.7000";"1.6699";"27.1089"
"";"16.8000";"1.6800";"27.4253"
"";"16.9000";"1.6899";"27.7475"
"";"17.0000";"1.7001";"28.0639"
"";"17.1000";"1.7103";"28.3612"
"";"17.2000";"1.7200";"28.6685"
"";"17.3000";"1.7298";"28.9744"
"";"17.4000";"1.7401";"29.2748"
"";"17.5000";"1.7501";"29.5716"
"";"17.6000";"1.7599";"29.8635"
"";"17.7000";"1.7701";"30.1332"
"";"17.8000";"1.7801";"30.4211"
"";"17.9000";"1.7900";"30.7063"
"";"18.0000";"1.8000";"30.9529"
"";"18.1000";"1.8099";"31.1977"
"";"18.2000";"1.8199";"31.4543"
"";"18.3000";"1.8303";"31.6881"
"";"18.4000";"1.8403";"31.9171"
"";"18.5000";"1.8498";"32.1247"
"";"18.6000";"1.8599";"32.3377"
"";"18.7000";"1.8702";"32.5568"
"";"18.8000";"1.8802";"32.7682"
"";"18.9000";"1.8901";"32.9646"
"";"19.0000";"1.9001";"33.1386"
"";"19.1000";"1.9099";"33.3201"
"";"19.2000";"1.9200";"33.4927"
"";"19.3000";"1.9303";"33.6383"
"";"19.4000";"1.9400";"33.7667"
"";"19.5000";"1.9501";"33.8953"
"";"19.6000";"1.9603";"34.0054"
"";"19.7000";"1.9703";"34.1107"
"";"19.8000";"1.9798";"34.1950"
"";"19.9000";"1.9901";"34.2607"
"";"20.0000";"2.0001";"34.3252"
"";"20.1000";"2.0103";"34.3890"
"";"20.2000";"2.0204";"34.4308"
"";"20.3000";"2.0303";"34.4733"
"";"20.4000";"2.0399";"34.5212"
"";"20.5000";"2.0502";"34.5655"
"";"20.6000";"2.0603";"34.6028"
"";"20.7000";"2.0701";"34.6402"
"";"20.8000";"2.0802";"34.6680"
"";"20.9000";"2.0903";"34.6922"
"";"21.0000";"2.0999";"34.7145"
"";"21.1000";"2.1102";"34.7297"
"";"21.2000";"2.1203";"34.7336"
"";"21.3000";"2.1301";"34.7412"
"";"21.4000";"2.1402";"34.7497"
"";"21.5000";"2.1505";"34.7499"
"";"21.6000";"2.1599";"34.7405"
"";"21.7000";"2.1699";"34.7423"
"";"21.8000";"2.1802";"34.7412"
"";"21.9000";"2.1903";"34.7510"
"";"22.0000";"2.2003";"34.7469"
"";"22.1000";"2.2103";"34.7272"
"";"22.2000";"2.2201";"34.7234"
"";"22.3000";"2.2299";"34.7161"
"";"22.4000";"2.2403";"34.7013"
"";"22.5000";"2.2501";"34.6735"
"";"22.6000";"2.2601";"34.6453"
"";"22.7000";"2.2704";"34.6119"
"";"22.8000";"2.2804";"34.5813"
"";"22.9000";"2.2901";"34.5486"
"";"23.0000";"2.3001";"34.5091"
"";"23.1000";"2.3101";"34.4745"
"";"23.2000";"2.3203";"34.4533"
"";"23.3000";"2.3304";"34.4224"
"";"23.4000";"2.3403";"34.3742"
"";"23.5000";"2.3498";"34.3436"
"";"23.6000";"2.3601";"34.3200"
"";"23.7000";"2.3704";"34.2952"
"";"23.8000";"2.3802";"34.2691"
"";"23.9000";"2.3903";"34.2333"
"";"24.0000";"2.4003";"34.1977"
"";"24.1000";"2.4101";"34.1720"
"";"24.2000";"2.4201";"34.1481"
"";"24.3000";"2.4302";"34.1086"
"";"24.4000";"2.4401";"34.0893"
"";"24.5000";"2.4503";"34.0701"
"";"24.6000";"2.4604";"34.0398"
"";"24.7000";"2.4702";"34.0155"
"";"24.8000";"2.4799";"33.9857"
"";"24.9000";"2.4901";"33.9605"
"";"25.0000";"2.5001";"33.9365"
"";"25.1000";"2.5103";"33.9180"
"";"25.2000";"2.5203";"33.8743"
"";"25.3000";"2.5302";"33.8503"
"";"25.4000";"2.5400";"33.8279"
"";"25.5000";"2.5503";"33.8076"
"";"25.6000";"2.5601";"33.7761"
"";"25.7000";"2.5701";"33.7541"
"";"25.8000";"2.5803";"33.7293"
"";"25.9000";"2.5904";"33.7011"
"";"26.0000";"2.6000";"33.6759"
"";"26.1000";"2.6102";"33.6461"
"";"26.2000";"2.6203";"33.6129"
"";"26.3000";"2.6302";"33.5902"
"";"26.4000";"2.6403";"33.5651"
"";"26.5000";"2.6503";"33.5232"
"";"26.6000";"2.6599";"33.4904"
"";"26.7000";"2.6700";"33.4661"
"";"26.8000";"2.6803";"33.4301"
"";"26.9000";"2.6902";"33.4049"
"";"27.0000";"2.7002";"33.3689"
"";"27.1000";"2.7103";"33.3355"
"";"27.2000";"2.7203";"33.3119"
"";"27.3000";"2.7301";"33.2843"
"";"27.4000";"2.7402";"33.2447"
"";"27.5000";"2.7501";"33.2112"
"";"27.6000";"2.7602";"33.1831"
"";"27.7000";"2.7704";"33.1459"
"";"27.8000";"2.7803";"33.1152"
"";"27.9000";"2.7900";"33.0861"
"";"28.0000";"2.8001";"33.0629"
"";"28.1000";"2.8103";"33.0411"
"";"28.2000";"2.8203";"33.0244"
"";"28.3000";"2.8303";"32.9959"
"";"28.4000";"2.8403";"32.9658"
"";"28.5000";"2.8499";"32.9483"
"";"28.6000";"2.8602";"32.9295"
"";"28.7000";"2.8702";"32.9110"
"";"28.8000";"2.8801";"32.8948"
"";"28.9000";"2.8903";"32.8895"
"";"29.0000";"2.9004";"32.8724"
"";"29.1000";"2.9101";"32.8568"
"";"29.2000";"2.9199";"32.8354"
"";"29.3000";"2.9301";"32.8141"
"";"29.4000";"2.9402";"32.8053"
"";"29.5000";"2.9503";"32.7953"
"";"29.6000";"2.9604";"32.7700"
"";"29.7000";"2.9702";"32.7579"
"";"29.8000";"2.9799";"32.7435"
"";"29.9000";"2.9902";"32.7305"
"";"30.0000";"3.0003";"32.7209"
"";"30.1000";"3.0101";"32.7065"
"";"30.2000";"3.0203";"32.6852"
"";"30.3000";"3.0303";"32.6795"
"";"30.4000";"3.0401";"32.6688"
"";"30.5000";"3.0501";"32.6532"
"";"30.6000";"3.0601";"32.6335"
"";"30.7000";"3.0701";"32.6312"
"";"30.8000";"3.0804";"32.6256"
"";"30.9000";"3.0906";"32.6137"
"";"31.0000";"3.0999";"32.5915"
"";"31.1000";"3.1101";"32.5812"
"";"31.2000";"3.1203";"32.5740"
"";"31.3000";"3.1303";"32.5746"
"";"31.4000";"3.1402";"32.5670"
"";"31.5000";"3.1502";"32.5509"
"";"31.6000";"3.1600";"32.5455"
"";"31.7000";"3.1701";"32.5466"
"";"31.8000";"3.1803";"32.5316"
"";"31.9000";"3.1901";"32.5201"
"";"32.0000";"3.2002";"32.5132"
"";"32.1000";"3.2104";"32.5021"
"";"32.2000";"3.2204";"32.4989"
"";"32.3000";"3.2299";"32.4851"
"";"32.4000";"3.2401";"32.4677"
"";"32.5000";"3.2501";"32.4569"
"";"32.6000";"3.2603";"32.4558"
"";"32.7000";"3.2704";"32.4338"
"";"32.8000";"3.2802";"32.4110"
"";"32.9000";"3.2899";"32.3958"
"";"33.0000";"3.3003";"32.3901"
"";"33.1000";"3.3104";"32.3784"
"";"33.2000";"3.3201";"32.3641"
"";"33.3000";"3.3302";"32.3472"
"";"33.4000";"3.3403";"32.3316"
"";"33.5000";"3.3501";"32.3247"
"";"33.6000";"3.3602";"32.3088"
"";"33.7000";"3.3703";"32.2906"
"";"33.8000";"3.3802";"32.2905"
"";"33.9000";"3.3902";"32.2822"
"";"34.0000";"3.4004";"32.2679"
"";"34.1000";"3.4097";"32.2474"
"";"34.2000";"3.4199";"32.2380"
"";"34.3000";"3.4302";"32.2273"
"";"34.4000";"3.4404";"32.2227"
"";"34.5000";"3.4503";"32.2069"
"";"34.6000";"3.4603";"32.1718"
"";"34.7000";"3.4702";"32.1601"
"";"34.8000";"3.4800";"32.1481"
"";"34.9000";"3.4903";"32.1273"
"";"35.0000";"3.5001";"32.1031"
"";"35.1000";"3.5101";"32.0884"
"";"35.2000";"3.5204";"32.0682"
"";"35.3000";"3.5304";"32.0506"
"";"35.4000";"3.5401";"32.0328"
"";"35.5000";"3.5501";"32.0078"
"";"35.6000";"3.5601";"31.9863"
"";"35.7000";"3.5702";"31.9747"
"";"35.8000";"3.5804";"31.9526"
"";"35.9000";"3.5903";"31.9193"
"";"36.0000";"3.5998";"31.8951"
"";"36.1000";"3.6101";"31.8777"
"";"36.2000";"3.6204";"31.8576"
"";"36.3000";"3.6302";"31.8413"
"";"36.4000";"3.6402";"31.8120"
"";"36.5000";"3.6503";"31.7830"
"";"36.6000";"3.6600";"31.7618"
"";"36.7000";"3.6701";"31.7444"
"";"36.8000";"3.6802";"31.7093"
"";"36.9000";"3.6901";"31.6910"
"";"37.0000";"3.7002";"31.6725"
"";"37.1000";"3.7105";"31.6466"
"";"37.2000";"3.7202";"31.6219"
"";"37.3000";"3.7299";"31.5887"
"";"37.4000";"3.7402";"31.5662"
"";"37.5000";"3.7502";"31.5398"
"";"37.6000";"3.7603";"31.5188"
"";"37.7000";"3.7703";"31.4746"
"";"37.8000";"3.7802";"31.4440"
"";"37.9000";"3.7901";"31.4220"
"";"38.0000";"3.8003";"31.3941"
"";"38.1000";"3.8103";"31.3583"
"";"38.2000";"3.8201";"31.3270"
"";"38.3000";"3.8303";"31.2983"
"";"38.4000";"3.8404";"31.2623"
"";"38.5000";"3.8501";"31.2300"
"";"38.6000";"3.8601";"31.1880"
"";"38.7000";"3.8702";"31.1518"
"";"38.8000";"3.8803";"31.1311"
"";"38.9000";"3.8903";"31.1025"
"";"39.0000";"3.9003";"31.0584"
"";"39.1000";"3.9100";"31.0197"
"";"39.2000";"3.9201";"30.9887"
"";"39.3000";"3.9303";"30.9477"
"";"39.4000";"3.9402";"30.9161"
"";"39.5000";"3.9501";"30.8733"
"";"39.6000";"3.9604";"30.8360"
"";"39.7000";"3.9703";"30.8109"
"";"39.8000";"3.9801";"30.7781"
"";"39.9000";"3.9901";"30.7340"
"";"40.0000";"4.0001";"30.7010"
"";"40.1000";"4.0102";"30.6756"
"";"40.2000";"4.0204";"30.6399"
"";"40.3000";"4.0303";"30.5998"
"";"40.4000";"4.0400";"30.5581"
"";"40.5000";"4.0502";"30.5211"
"";"40.6000";"4.0603";"30.4859"
"";"40.7000";"4.0703";"30.4565"
"";"40.8000";"4.0803";"30.4133"
"";"40.9000";"4.0903";"30.3668"
"";"41.0000";"4.0999";"30.3287"
"";"41.1000";"4.1102";"30.2820"
"";"41.2000";"4.1203";"30.2226"
"";"41.3000";"4.1301";"30.1702"
"";"41.4000";"4.1403";"30.1236"
"";"41.5000";"4.1504";"30.0722"
"";"41.6000";"4.1601";"30.0186"
"";"41.7000";"4.1700";"29.9655"
"";"41.8000";"4.1801";"29.9116"
"";"41.9000";"4.1903";"29.8746"
"";"42.0000";"4.2004";"29.8282"
"";"42.1000";"4.2104";"29.7715"
"";"42.2000";"4.2202";"29.7259"
"";"42.3000";"4.2300";"29.6871"
"";"42.4000";"4.2402";"29.6471"
"";"42.5000";"4.2503";"29.6063"
"";"42.6000";"4.2601";"29.5515"
"";"42.7000";"4.2703";"29.4829"
"";"42.8000";"4.2803";"29.4288"
"";"42.9000";"4.2902";"29.3796"
"";"43.0000";"4.3002";"29.3244"
"";"43.1000";"4.3101";"29.2670"
"";"43.2000";"4.3201";"29.2296"
"";"43.3000";"4.3304";"29.1875"
"";"43.4000";"4.3404";"29.1326"
"";"43.5000";"4.3499";"29.0782"
"";"43.6000";"4.3601";"29.0269"
"";"43.7000";"4.3703";"28.9724"
"";"43.8000";"4.3803";"28.9240"
"";"43.9000";"4.3902";"28.8664"
"";"44.0000";"4.4002";"28.8070"
"";"44.1000";"4.4099";"28.7566"
"";"44.2000";"4.4201";"28.7142"
"";"44.3000";"4.4304";"28.6601"
"";"44.4000";"4.4401";"28.6086"
"";"44.5000";"4.4503";"28.5640"
"";"44.6000";"4.4604";"28.5093"
"";"44.7000";"4.4704";"28.4636"
"";"44.8000";"4.4799";"28.4109"
"";"44.9000";"4.4901";"28.3573"
"";"45.0000";"4.5001";"28.3115"
"";"45.1000";"4.5103";"28.2698"
"";"45.2000";"4.5204";"28.2068"
"";"45.3000";"4.5303";"28.1462"
"";"45.4000";"4.5400";"28.0955"
"";"45.5000";"4.5503";"28.0454"
"";"45.6000";"4.5603";"27.9891"
"";"45.7000";"4.5701";"27.9358"
"";"45.8000";"4.5802";"27.8793"
"";"45.9000";"4.5903";"27.8228"
"";"46.0000";"4.6000";"27.7732"
"";"46.1000";"4.6103";"27.7205"
"";"46.2000";"4.6203";"27.6571"
"";"46.3000";"4.6301";"27.6050"
"";"46.4000";"4.6403";"27.5577"
"";"46.5000";"4.6505";"27.5015"
"";"46.6000";"4.6599";"27.4374"
"";"46.7000";"4.6700";"27.3856"
"";"46.8000";"4.6803";"27.3252"
"";"46.9000";"4.6903";"27.2770"
"";"47.0000";"4.7003";"27.2233"
"";"47.1000";"4.7103";"27.1581"
"";"47.2000";"4.7203";"27.1118"
"";"47.3000";"4.7301";"27.0626"
"";"47.4000";"4.7403";"27.0088"
"";"47.5000";"4.7500";"26.9476"
"";"47.6000";"4.7601";"26.8967"
"";"47.7000";"4.7704";"26.8422"
"";"47.8000";"4.7804";"26.7872"
"";"47.9000";"4.7901";"26.7320"
